settlement_id,transaction_id,gateway_txn_id,settlement_date,gross_amount,net_amount,fee_deducted,settlement_status
SET_eae6dd09a,TXN_2B9770DE,GW_ee3c5e7cfa0,2026-08-26,3980.93,3901.31,79.62,SETTLED
SET_8bd9b3c7a,TXN_86DDA896,GW_a816a13a38c,2026-08-16,2342.6,2295.75,46.85,SETTLED
SET_1cbe372d3,TXN_D70F9E63,GW_a37eed106ba,2026-08-30,2402.63,2354.58,48.05,SETTLED
SET_f2e249d9e,TXN_9C48A5D3,GW_983b57780a7,2026-08-18,4255.02,4169.92,85.1,SETTLED
SET_15473b1cf,TXN_C6C07F33,GW_f4ca1b866fa,2026-08-08,3905.69,3827.58,78.11,SETTLED
SET_daf723120,TXN_37AD4597,GW_fe9ad1d08ba,2026-08-22,4922.91,4824.45,98.46,SETTLED
SET_8d01d5742,TXN_27CC1D44,GW_267059e4954,2026-09-03,2950.87,2891.85,59.02,SETTLED
SET_aa90119f1,TXN_5B34698A,GW_7b1215f0307,2026-09-04,335.0,328.3,6.7,SETTLED
SET_9e558bd76,TXN_2CF66461,GW_48ded57ecd3,2026-08-21,4080.84,3999.22,81.62,SETTLED
SET_c884f55f1,TXN_47F581A8,GW_650f7b03971,2026-08-18,3958.42,3879.25,79.17,SETTLED
SET_168ee1be5,TXN_E0E3363B,GW_f2379d8d727,2026-08-15,1739.48,1704.69,34.79,SETTLED
SET_83ff9288f,TXN_A5749BCA,GW_175e2153435,2026-09-04,4950.25,4851.25,99.0,SETTLED
SET_8f6ca80a4,TXN_5709B74D,GW_189c80693f9,2026-08-18,2371.6,2324.17,47.43,SETTLED
SET_26e1a3dcc,TXN_47C0153C,GW_dbfdce34638,2026-08-15,4325.16,4238.66,86.5,SETTLED
SET_da5777b5c,TXN_3E9D9787,GW_de9ffa50cba,2026-09-02,4796.76,4700.82,95.94,SETTLED
SET_f55e45659,TXN_1B0A3855,GW_23274beb508,2026-08-13,1197.51,1173.56,23.95,SETTLED
SET_c413113bf,TXN_F14E4487,GW_66b3d8c83d2,2026-08-28,1023.02,1002.56,20.46,SETTLED
SET_c1df170a7,TXN_E72813AC,GW_f6c22fa1654,2026-08-17,56.47,55.34,1.13,SETTLED
SET_ca22febe9,TXN_010F0140,GW_49da5a07c8a,2026-08-12,4062.42,3981.17,81.25,SETTLED
SET_bee339e22,TXN_D957DE96,GW_657f44fcc83,2026-08-08,1568.76,1537.38,31.38,SETTLED
SET_e1d1da02a,TXN_A1BA6B59,GW_613ecfe9632,2026-08-17,2657.54,2604.39,53.15,SETTLED
SET_4ad140e6f,TXN_47712795,GW_f435e4e288b,2026-08-22,4031.25,3950.63,80.62,SETTLED
SET_46f3f80f8,TXN_792A6BCD,GW_1ad2de1f45c,2026-08-18,4285.45,4199.74,85.71,SETTLED
SET_99c01d895,TXN_2109F01F,GW_62b17b3589a,2026-08-24,3642.54,3569.69,72.85,SETTLED
SET_b0376e863,TXN_B27FB2CD,GW_268a630fb2c,2026-08-15,37.12,36.38,0.74,SETTLED
SET_04768fda0,TXN_E9CE9F8E,GW_103a44bf00e,2026-08-20,1104.15,1082.07,22.08,SETTLED
SET_0276578f0,TXN_7FD9B15A,GW_3b71d6f7400,2026-08-30,3261.18,3195.96,65.22,SETTLED
SET_a11a3258b,TXN_63B39366,GW_dc772e397c4,2026-08-28,2084.96,2043.26,41.7,SETTLED
SET_aff5173c1,TXN_513B652B,GW_7227a11d324,2026-09-01,91.01,89.19,1.82,SETTLED
SET_9938fdf22,TXN_C95517E1,GW_e6b60672bff,2026-09-02,4019.54,3939.15,80.39,SETTLED
SET_0c36eed40,TXN_408DDDA7,GW_1afeed7eab5,2026-09-04,2374.41,2326.92,47.49,SETTLED
SET_43640a2df,TXN_1F455F11,GW_8748912e0c9,2026-09-04,1227.97,1203.41,24.56,SETTLED
SET_a2946092e,TXN_3896268A,GW_475be683b76,2026-08-20,1408.86,1380.68,28.18,SETTLED
SET_19e60b3c0,TXN_EA105E04,GW_ac1cd6c2c9f,2026-08-13,375.64,368.13,7.51,SETTLED
SET_2cac013ca,TXN_A69F5F20,GW_9792425400c,2026-08-29,1124.1,1101.62,22.48,SETTLED
SET_aa486fac5,TXN_C401F9B7,GW_7eab508086f,2026-08-08,2114.91,2072.61,42.3,SETTLED
SET_6b5397129,TXN_B3BFECE3,GW_e808c4b0b47,2026-08-07,2198.44,2154.47,43.97,SETTLED
SET_915c96c56,TXN_7851D67B,GW_8e5591bb839,2026-08-06,2497.28,2447.33,49.95,SETTLED
SET_b518ff0a9,TXN_B4986C49,GW_afff3995456,2026-08-15,331.93,325.29,6.64,SETTLED
SET_6ba796d20,TXN_2A4FFB3D,GW_95138151672,2026-08-30,3412.95,3344.69,68.26,SETTLED
SET_0b65d74bc,TXN_BDBD444C,GW_0b5adfb6790,2026-08-31,2041.74,2000.91,40.83,SETTLED
SET_2cab5442d,TXN_3E952EB2,GW_fc1017f885e,2026-08-07,1871.15,1833.73,37.42,SETTLED
SET_9615c32dc,TXN_EA46C466,GW_4af503d2d04,2026-08-25,3957.81,3878.65,79.16,SETTLED
SET_db0f3e004,TXN_2BDC1362,GW_a4d97e4c74c,2026-08-20,3026.28,2965.75,60.53,SETTLED
SET_f2b403514,TXN_26ED86EE,GW_006d4574028,2026-08-27,3525.52,3455.01,70.51,SETTLED
SET_f5bf38b62,TXN_614CA9D7,GW_60c4e148ca4,2026-08-15,4102.74,4020.69,82.05,SETTLED
SET_e264d85bb,TXN_EFD87B66,GW_3aabadb0fe9,2026-08-15,4606.2,4514.08,92.12,SETTLED
SET_a420d2001,TXN_A4C7F864,GW_4a29b4c7e8c,2026-09-03,4312.81,4226.55,86.26,SETTLED
SET_b51d349df,TXN_C9473B5E,GW_f0bee69ffac,2026-09-04,415.95,407.63,8.32,SETTLED
SET_4a47b02c3,TXN_50C9DFC6,GW_47ed01b8976,2026-08-18,2859.73,2802.54,57.19,SETTLED
SET_e681e348e,TXN_978FB2CB,GW_7430b90fb72,2026-08-16,4523.04,4432.58,90.46,SETTLED
SET_e580f5e57,TXN_BF29324A,GW_4961a24ce02,2026-09-03,382.61,374.96,7.65,SETTLED
SET_a525808df,TXN_242051FA,GW_9803598270a,2026-08-17,4031.97,3951.33,80.64,SETTLED
SET_cbf9c2288,TXN_B401207C,GW_ab1dcbcfd4a,2026-08-13,332.06,325.42,6.64,SETTLED
SET_6e21c712d,TXN_BC480D63,GW_f02cd9fabca,2026-08-26,290.08,284.28,5.8,SETTLED
SET_1e692f27c,TXN_4E2D4CA7,GW_ce242ef48b5,2026-08-20,4201.92,4117.88,84.04,SETTLED
SET_ec7df4e22,TXN_37A00970,GW_3998d8b6e1e,2026-08-22,4800.24,4704.24,96.0,SETTLED
SET_6983a4b60,TXN_B066A63B,GW_f006e4b7a9a,2026-08-26,682.14,668.5,13.64,SETTLED
SET_e80230a44,TXN_71BA16C6,GW_da3711cb170,2026-08-19,4146.88,4063.94,82.94,SETTLED
SET_caed3b798,TXN_DA12CE61,GW_c8a5da7fb14,2026-08-09,2153.75,2110.67,43.08,SETTLED
SET_7cdb192ad,TXN_B80E3152,GW_549b1635d8a,2026-09-07,951.97,932.93,19.04,SETTLED
SET_4d59f261a,TXN_5BEB167C,GW_e66dc0abff3,2026-08-13,1439.54,1410.75,28.79,SETTLED
SET_5af785b3b,TXN_3CB2B7FA,GW_4f03ae5809b,2026-08-11,4571.41,4479.98,91.43,SETTLED
SET_fc21ea89a,TXN_B29F2497,GW_c95478c8891,2026-08-26,525.4,514.89,10.51,SETTLED
SET_e74554293,TXN_F17CFD26,GW_c9c51cb4aaf,2026-08-16,851.86,834.82,17.04,SETTLED
SET_e315ec4a9,TXN_35C3A48D,GW_526dfaeb7cb,2026-08-15,4593.08,4501.22,91.86,SETTLED
SET_defe10b83,TXN_FC2A9BA2,GW_c46f05b5580,2026-08-22,3486.46,3416.73,69.73,SETTLED
SET_04237fe8e,TXN_230FAA50,GW_ddee88bbb7d,2026-08-20,1581.92,1550.28,31.64,SETTLED
SET_93057af2c,TXN_B5296A80,GW_efd788ce7c5,2026-08-09,1331.4,1304.77,26.63,SETTLED
SET_dfac3a1b2,TXN_0A18E07D,GW_5f7be813235,2026-08-13,4239.62,4154.83,84.79,SETTLED
SET_3d55c5a16,TXN_AE409C04,GW_35fecad7653,2026-08-13,1985.09,1945.39,39.7,SETTLED
SET_f507a22a8,TXN_E9DE8189,GW_8c836f34b28,2026-08-31,3336.56,3269.83,66.73,SETTLED
SET_82134ae3f,TXN_07F974E0,GW_e4c05cd2c17,2026-08-29,4518.0,4427.64,90.36,SETTLED
SET_82a47681c,TXN_FF8CD2F8,GW_7c6d599ee2c,2026-08-12,3256.39,3191.26,65.13,SETTLED
SET_2b8758437,TXN_A3DE8F04,GW_1bade599042,2026-08-10,3266.36,3201.03,65.33,SETTLED
SET_a199151cc,TXN_CEFD748B,GW_a9d3794dcda,2026-08-07,3220.03,3155.63,64.4,SETTLED
SET_b41d5da0a,TXN_1F27F4EB,GW_4e0fad14896,2026-09-04,1755.42,1720.31,35.11,SETTLED
SET_17e8944d0,TXN_54817584,GW_06c162b0865,2026-08-27,4730.15,4635.55,94.6,SETTLED
SET_633312956,TXN_A031ABF9,GW_044c3192f60,2026-08-21,2683.92,2630.24,53.68,SETTLED
SET_842979605,TXN_E3CC0735,GW_d8d71c710fc,2026-08-19,4758.0,4662.84,95.16,SETTLED
SET_36f6e5110,TXN_EEDDE406,GW_2011f58986a,2026-08-29,4317.12,4230.78,86.34,SETTLED
SET_1cf36a678,TXN_50ACCF99,GW_34061d71861,2026-09-03,974.76,955.26,19.5,SETTLED
SET_1a2b29ac7,TXN_DA6C11AE,GW_5dbad71685b,2026-08-28,1943.0,1904.14,38.86,SETTLED
SET_4ad0f3a05,TXN_6B67C0C9,GW_12a1b21263e,2026-08-31,3371.11,3303.69,67.42,SETTLED
SET_ec60c8a35,TXN_9C9FCB4D,GW_67144cfed94,2026-08-14,121.55,119.12,2.43,SETTLED
SET_e14d8896b,TXN_CC8388AF,GW_e19ce8a69bd,2026-08-15,4643.34,4550.47,92.87,SETTLED
SET_fd789cb77,TXN_4DDD8540,GW_f634e132430,2026-09-02,4474.62,4385.13,89.49,SETTLED
SET_40bb01ff9,TXN_427C98C2,GW_573f9da81e3,2026-08-12,2692.32,2638.47,53.85,SETTLED
SET_17108b018,TXN_8244B029,GW_cd7d67b20ea,2026-08-12,1260.27,1235.06,25.21,SETTLED
SET_80e144423,TXN_8B0DEDEB,GW_7b890d155e4,2026-08-08,1693.69,1659.82,33.87,SETTLED
SET_61c123935,TXN_5E5C1960,GW_8871dd132b4,2026-08-22,2077.88,2036.32,41.56,SETTLED
SET_3176c3229,TXN_72C3F84A,GW_ecc6f864a74,2026-08-07,1935.19,1896.49,38.7,SETTLED
SET_13310d050,TXN_0CF4CC66,GW_d84dbafd8a3,2026-08-09,2861.97,2804.73,57.24,SETTLED
SET_fad80d9f3,TXN_0CFB84F1,GW_6012138334d,2026-08-17,749.51,734.52,14.99,SETTLED
SET_fe3634801,TXN_DD9590CE,GW_850451a1562,2026-08-16,3163.38,3100.11,63.27,SETTLED
SET_070aac3f8,TXN_60C2CF62,GW_dcc3bce906b,2026-08-19,3103.07,3041.01,62.06,SETTLED
SET_f83a82307,TXN_47EC9669,GW_0a78a37f54c,2026-08-08,4730.7,4636.09,94.61,SETTLED
SET_7534545d4,TXN_41689D34,GW_7cd3a6f015b,2026-08-11,4556.86,4465.72,91.14,SETTLED
SET_2f21a81bf,TXN_D17F6A8B,GW_3c54fd03b62,2026-08-19,455.89,446.77,9.12,SETTLED
SET_7196478ba,TXN_3C555D95,GW_d3143978880,2026-08-31,625.64,613.13,12.51,SETTLED
SET_21cd78d66,TXN_F4C96502,GW_df1320920b4,2026-08-17,3885.6,3807.89,77.71,SETTLED
SET_c96e15580,TXN_C9047248,GW_2033e390b52,2026-09-02,2181.04,2137.42,43.62,SETTLED
SET_0a7674cd5,TXN_8627FEA1,GW_225388f1a25,2026-09-07,3681.58,3607.95,73.63,SETTLED
SET_025933bc1,TXN_2597701B,GW_42bda91e2a2,2026-08-06,2476.74,2427.21,49.53,SETTLED
SET_f9dca142b,TXN_72EE1CFB,GW_d76dea675dd,2026-08-20,4548.75,4457.77,90.98,SETTLED
SET_5e24763e9,TXN_7D9C50B4,GW_e5dbe0843b4,2026-08-16,4031.15,3950.53,80.62,SETTLED
SET_3116d85e5,TXN_8F9BA265,GW_12229fac8fe,2026-08-23,3250.52,3185.51,65.01,SETTLED
SET_e311d55f3,TXN_F85C2529,GW_f74608df71e,2026-08-11,4440.89,4352.07,88.82,SETTLED
SET_3108283a0,TXN_7A282E3E,GW_a81cdbfa0da,2026-08-19,236.35,231.62,4.73,SETTLED
SET_7dcca6ab7,TXN_1FC4AC38,GW_68bde53cbc5,2026-08-25,4030.23,3949.63,80.6,SETTLED
SET_1eb3b33cd,TXN_6B1FC86B,GW_94ab2c71a28,2026-08-29,2957.94,2898.78,59.16,SETTLED
SET_e9ae1590b,TXN_7D7753D0,GW_8b68c5bd287,2026-08-10,3558.84,3487.66,71.18,SETTLED
SET_0f3bb0b89,TXN_70DCC290,GW_6b0fe91c4dc,2026-08-19,227.41,222.86,4.55,SETTLED
SET_3cb7dedb3,TXN_B453317A,GW_028165671cd,2026-09-02,2758.22,2703.06,55.16,SETTLED
SET_136ba3b49,TXN_80977290,GW_4f84bec51e3,2026-09-01,946.18,927.26,18.92,SETTLED
SET_dc1d23986,TXN_A9E525D5,GW_27e1dc4befa,2026-08-09,2561.37,2510.14,51.23,SETTLED
SET_579ccd788,TXN_91BFCB74,GW_4d52f30f02b,2026-08-21,1527.49,1496.94,30.55,SETTLED
SET_77671a65b,TXN_05BE2884,GW_7cacc829f0d,2026-08-13,2443.45,2394.58,48.87,SETTLED
SET_1d1e09c02,TXN_D129D1A2,GW_ba929557e04,2026-08-18,919.04,900.66,18.38,SETTLED
SET_5cd8e8466,TXN_EBF85815,GW_433c924167a,2026-08-14,47.35,46.4,0.95,SETTLED
SET_3395769c4,TXN_5F98E778,GW_6ffc831a97d,2026-08-16,3900.91,3822.89,78.02,SETTLED
SET_5fb68d4cf,TXN_2E766233,GW_9a95a89809f,2026-08-30,3909.04,3830.86,78.18,SETTLED
SET_adb789468,TXN_C00385DB,GW_a5d5721156b,2026-08-27,901.49,883.46,18.03,SETTLED
SET_deb6650b5,TXN_E6487DCD,GW_b48ac361837,2026-08-28,245.82,240.9,4.92,SETTLED
SET_2c103fb64,TXN_D8D45E9E,GW_6d82560c03e,2026-08-12,4875.48,4777.97,97.51,SETTLED
SET_732901206,TXN_3BF68855,GW_55088a91415,2026-08-10,2073.16,2031.7,41.46,SETTLED
SET_1e59cf1fd,TXN_807F8F9C,GW_fbc963e76d2,2026-09-02,4902.28,4804.23,98.05,SETTLED
SET_c0626bc2c,TXN_99B14DB4,GW_c3ac484dc8e,2026-08-10,4349.62,4262.63,86.99,SETTLED
SET_6d0dea25b,TXN_2B25D7AB,GW_bab16388593,2026-08-24,4232.79,4148.13,84.66,SETTLED
SET_c917aca9e,TXN_B4EDECDC,GW_e42585437e4,2026-08-30,2316.74,2270.41,46.33,SETTLED
SET_3a814cf87,TXN_35FF6851,GW_e0d4b99674b,2026-08-10,3443.93,3375.05,72.3,SETTLED
SET_b2324cd53,TXN_C13A984C,GW_219237d1c45,2026-08-31,1767.53,1732.18,35.35,SETTLED
SET_75b4f2a7f,TXN_0DCBE84D,GW_388304cdab0,2026-08-11,1966.33,1927.0,39.33,SETTLED
SET_d96af51d4,TXN_23F8F9D6,GW_33474d31e20,2026-08-09,2889.85,2832.05,57.8,SETTLED
SET_a845ef030,TXN_88B65823,GW_a4aef91d636,2026-08-07,2773.7,2718.23,55.47,SETTLED
SET_195d34086,TXN_CFFFC406,GW_cea81df2557,2026-08-12,2792.6,2736.75,55.85,SETTLED
SET_e0952d266,TXN_62FE56CD,GW_b61df6a94a3,2026-08-23,1017.62,997.27,20.35,SETTLED
SET_735651bb1,TXN_C3F68F77,GW_0a7f0cba492,2026-08-14,1523.54,1493.07,30.47,SETTLED
SET_05329fa9b,TXN_C786328C,GW_da7bf40ef76,2026-09-02,4866.65,4769.32,97.33,SETTLED
SET_2cc8c2856,TXN_3BEB08F7,GW_556e6b359ae,2026-08-23,2657.13,2603.99,53.14,SETTLED
SET_34d8d3e6f,TXN_7EB54B2C,GW_5e4f83b5b07,2026-08-18,2946.82,2887.88,58.94,SETTLED
SET_59c142604,TXN_D4FC2C06,GW_7aa50ba26d9,2026-08-19,4159.71,4076.52,83.19,SETTLED
SET_5695add10,TXN_B9C485C3,GW_c016527ecff,2026-08-11,3160.93,3097.71,63.22,SETTLED
SET_d54cadd83,TXN_DE42B4EF,GW_18143f59fd9,2026-08-12,4072.71,3991.26,81.45,SETTLED
SET_c3068cc69,TXN_7372BC8F,GW_7b5d697e29d,2026-08-15,4725.9,4631.38,94.52,SETTLED
SET_b79ffbdce,TXN_7DA8DB6C,GW_168dd9edab7,2026-08-21,991.56,971.73,19.83,SETTLED
SET_5272e8b93,TXN_731C014D,GW_4b55212e90e,2026-08-22,3509.15,3438.97,70.18,SETTLED
SET_97b95345e,TXN_EAB9E095,GW_b60824e0dcb,2026-08-27,1947.84,1908.88,38.96,SETTLED
SET_ca247e645,TXN_ACC8AFCE,GW_c0746585b8b,2026-08-10,1000.63,980.62,23.29,SETTLED
SET_427ad477d,TXN_8FFCED05,GW_cb75ca3616d,2026-08-18,665.58,652.27,13.31,SETTLED
SET_c36230279,TXN_C12BD270,GW_c5027d6b28e,2026-08-15,314.76,308.46,6.3,SETTLED
SET_8b0607697,TXN_B10BFD31,GW_13ef7dcd342,2026-08-26,2728.95,2674.37,54.58,SETTLED
SET_fe09c8008,TXN_CA9D94C3,GW_759aa96f0bd,2026-09-02,3667.33,3593.98,73.35,SETTLED
SET_6f6c0d1c0,TXN_16C2D82E,GW_6d08e07970e,2026-08-17,862.33,845.08,17.25,SETTLED
SET_cbf303e8f,TXN_788E521F,GW_6e6bae53528,2026-09-02,2232.99,2188.33,44.66,SETTLED
SET_11b9072bb,TXN_ED9346D1,GW_f654f382cfb,2026-09-03,2488.23,2438.47,49.76,SETTLED
SET_f2c35bc22,TXN_498CF1F1,GW_8c7fa04aa43,2026-08-07,4952.86,4853.8,101.24,SETTLED
SET_7e9e43845,TXN_62D7C0AF,GW_69b01aa5c6e,2026-08-15,656.67,643.54,13.13,SETTLED
SET_1c48dbde0,TXN_B4EDEE9A,GW_3587a76f00c,2026-08-19,1952.45,1913.4,39.05,SETTLED
SET_584cdbc97,TXN_D14768CC,GW_c1a3b360426,2026-08-30,4865.34,4768.03,97.31,SETTLED
SET_9cb26dd2e,TXN_210A562F,GW_84ba1a1965b,2026-08-26,3272.85,3207.39,65.46,SETTLED
SET_4c2e04857,TXN_CAAE8510,GW_490452f4f3e,2026-09-02,3180.51,3116.9,63.61,SETTLED
SET_12660175e,TXN_5DE1D983,GW_eeb0bc20989,2026-08-25,4796.96,4701.02,95.94,SETTLED
SET_6ea44929a,TXN_9BD2F22A,GW_bbe336037f4,2026-08-28,4979.8,4880.2,99.6,SETTLED
SET_a2b42f1ef,TXN_5E7E514F,GW_d2c9c1dba6f,2026-08-21,2646.28,2593.35,52.93,SETTLED
SET_18a840063,TXN_57531D98,GW_fd93f1fc989,2026-08-11,1618.11,1585.75,32.36,SETTLED
SET_a53082ca1,TXN_58B087C9,GW_8b73431da9e,2026-08-17,4906.54,4808.41,98.13,SETTLED
SET_91f8147ba,TXN_4332985E,GW_f350475edf9,2026-08-15,4426.49,4337.96,88.53,SETTLED
SET_541cc44af,TXN_31A23EB3,GW_b88e00ed41f,2026-08-27,915.67,897.36,18.31,SETTLED
SET_e328a7223,TXN_A4037887,GW_73085e593d1,2026-08-12,3649.57,3576.58,72.99,SETTLED
SET_8495f77db,TXN_2FA45468,GW_c8db6b10611,2026-08-26,2545.68,2494.77,50.91,SETTLED
SET_0cb81f0aa,TXN_8C74F46F,GW_c95913bdb40,2026-08-26,1654.96,1621.86,33.1,SETTLED
SET_3e3d8fc6c,TXN_15D67FB4,GW_c1255af4f55,2026-08-29,490.35,480.54,9.81,SETTLED
SET_8e52a870f,TXN_7FB1CD54,GW_4c601163be9,2026-08-28,4783.34,4687.67,95.67,SETTLED
SET_855e7f766,TXN_D2BF1C91,GW_3141c22358d,2026-08-26,3269.95,3204.55,65.4,SETTLED
SET_3a344e5db,TXN_73EC0BC8,GW_1de4669a3bb,2026-08-13,4970.29,4870.88,99.41,SETTLED
