gateway_txn_id,transaction_id,date,gross_amount,fee,status,payment_method,merchant_id,customer_id,captured_at
GW_d223ba57b3e,TXN_1F669F40,2026-08-26,4012.29,80.25,SUCCESS,UPI,merch_e6614b,cust_e2a9ff56,2026-08-26T06:54:13Z
GW_73d33bce0f7,TXN_FCFD9383,2026-08-22,2183.21,43.66,SUCCESS,UPI,merch_e6614b,cust_d6a2c97c,2026-08-22T06:55:13Z
GW_2868a19d7ef,TXN_25EA83B3,2026-08-28,1726.52,34.53,SUCCESS,UPI,merch_e6614b,cust_2b9b8e5d,2026-08-28T00:54:02Z
GW_bcf64a96797,TXN_6BB17682,2026-08-23,1629.77,32.6,SUCCESS,UPI,merch_e6614b,cust_5fbe07c2,2026-08-23T17:22:27Z
GW_bd2e35f1832,TXN_284B783C,2026-08-27,4009.35,80.19,SUCCESS,UPI,merch_e6614b,cust_739dac9a,2026-08-27T15:07:16Z
GW_c6489222963,TXN_0C9FE8C4,2026-08-10,2668.89,53.38,SUCCESS,UPI,merch_e6614b,cust_1cc6e31d,2026-08-10T20:02:29Z
GW_c2e41033744,TXN_FA4B2610,2026-08-27,1179.35,23.59,SUCCESS,UPI,merch_e6614b,cust_f72474f8,2026-08-27T15:41:59Z
GW_5eb06b950bd,TXN_271805B9,2026-08-08,2545.58,50.91,SUCCESS,UPI,merch_e6614b,cust_8fee3cd1,2026-08-08T20:20:40Z
GW_a920db727d4,TXN_8C3C652C,2026-09-03,1713.85,34.28,SUCCESS,UPI,merch_e6614b,cust_12be356c,2026-09-03T20:30:33Z
GW_136d803e255,TXN_4385BD02,2026-08-08,1824.71,36.49,SUCCESS,UPI,merch_e6614b,cust_9f659229,2026-08-08T05:11:35Z
GW_c2f31037429,TXN_EC5AEBCE,2026-08-17,4193.5,83.87,SUCCESS,UPI,merch_e6614b,cust_98ad5565,2026-08-17T23:23:16Z
GW_5632f5125a7,TXN_809122E9,2026-08-24,3582.97,71.66,SUCCESS,UPI,merch_e6614b,cust_7b1573cf,2026-08-24T23:46:06Z
GW_41126bbfef6,TXN_7A7A2CCA,2026-08-26,4564.59,91.29,SUCCESS,UPI,merch_e6614b,cust_1839e609,2026-08-26T13:56:20Z
GW_2c4e7e23d71,TXN_90E9B10B,2026-08-12,4346.88,86.94,SUCCESS,UPI,merch_e6614b,cust_ed66040c,2026-08-12T21:16:28Z
GW_f231c38fb1f,TXN_DC3AA0A6,2026-08-26,1482.65,29.65,SUCCESS,UPI,merch_e6614b,cust_e346a7e4,2026-08-26T23:41:49Z
GW_fca4866847d,TXN_4F3674FA,2026-08-11,3047.74,58.49,SUCCESS,UPI,merch_e6614b,cust_a825fdcf,2026-08-11T20:34:28Z
GW_aacd65d9563,TXN_6926F38F,2026-08-17,327.83,6.56,SUCCESS,UPI,merch_e6614b,cust_09739113,2026-08-17T19:00:33Z
GW_bae4abbfc74,TXN_A3C027BF,2026-08-14,1233.94,24.68,SUCCESS,UPI,merch_e6614b,cust_ffdfeebc,2026-08-14T02:25:57Z
GW_ab59638da7a,TXN_DC40C439,2026-08-27,4350.67,87.01,SUCCESS,UPI,merch_e6614b,cust_f22ee36c,2026-08-27T21:17:40Z
GW_1a4fa25fedf,TXN_8460CEBB,2026-08-28,1291.29,25.83,SUCCESS,UPI,merch_e6614b,cust_1667b1c4,2026-08-28T03:45:43Z
GW_2b8bb540ac3,TXN_CA85F650,2026-08-21,4568.04,91.36,SUCCESS,UPI,merch_e6614b,cust_3826e73d,2026-08-21T03:51:47Z
GW_dd370b12ecc,TXN_86479BA7,2026-09-03,3932.07,78.64,SUCCESS,UPI,merch_e6614b,cust_7954263c,2026-09-03T05:33:13Z
GW_03b6d6cdf1e,TXN_28573B57,2026-08-26,2762.77,55.26,SUCCESS,UPI,merch_e6614b,cust_ac6ae056,2026-08-26T00:18:44Z
GW_4db0556e22e,TXN_86538E94,2026-08-23,122.47,2.45,SUCCESS,UPI,merch_e6614b,cust_b98d04f6,2026-08-23T04:56:19Z
GW_f504bcb2741,TXN_826C78A4,2026-08-22,277.77,5.56,SUCCESS,UPI,merch_e6614b,cust_6f39f538,2026-08-22T22:54:23Z
GW_51ba65f5a40,TXN_8E147F2B,2026-08-19,1445.03,28.9,SUCCESS,UPI,merch_e6614b,cust_0340edf0,2026-08-19T21:05:40Z
GW_1d4da836cb1,TXN_EE9FC622,2026-08-23,2523.21,50.46,SUCCESS,UPI,merch_e6614b,cust_2b0301d5,2026-08-23T11:00:49Z
GW_7a3e2ba4878,TXN_5BF05146,2026-09-01,10.72,0.21,SUCCESS,UPI,merch_e6614b,cust_1ae30bc3,2026-09-01T10:43:13Z
GW_b2ecce03111,TXN_040BDBE7,2026-08-09,1695.21,33.9,SUCCESS,UPI,merch_e6614b,cust_46cce530,2026-08-09T05:13:44Z
GW_5ca5b3856ba,TXN_54E40927,2026-08-16,4702.38,94.05,SUCCESS,UPI,merch_e6614b,cust_4356f2d5,2026-08-16T05:21:44Z
GW_81932dcf9b8,TXN_E7992F22,2026-08-06,3781.21,75.62,SUCCESS,UPI,merch_e6614b,cust_96392f40,2026-08-06T10:08:03Z
GW_7cfdfa1946b,TXN_F45900C2,2026-08-24,2697.58,53.95,SUCCESS,UPI,merch_e6614b,cust_5b761414,2026-08-24T08:53:18Z
GW_a2a32601a9b,TXN_9A5D1C9A,2026-08-12,1622.44,32.45,SUCCESS,UPI,merch_e6614b,cust_9c5ad511,2026-08-12T18:18:10Z
GW_26165ff6bf9,TXN_7C39E09B,2026-08-28,1907.22,38.14,SUCCESS,UPI,merch_e6614b,cust_72c482b7,2026-08-28T19:49:44Z
GW_0dbcb188017,TXN_03B9E857,2026-08-22,1066.72,21.33,SUCCESS,UPI,merch_e6614b,cust_2053a27c,2026-08-22T11:31:00Z
GW_fe905ff1470,TXN_86781258,2026-08-11,2646.93,52.94,SUCCESS,UPI,merch_e6614b,cust_b9fc819c,2026-08-11T23:11:37Z
GW_b069a2936e4,TXN_41828265,2026-08-24,390.62,7.81,SUCCESS,UPI,merch_e6614b,cust_1040825d,2026-08-24T08:17:49Z
GW_36231a20103,TXN_642B9475,2026-08-15,1869.19,37.38,SUCCESS,UPI,merch_e6614b,cust_d001248f,2026-08-15T13:36:19Z
GW_dfa1e69820b,TXN_9187C542,2026-09-01,4413.99,88.28,SUCCESS,UPI,merch_e6614b,cust_77956f25,2026-09-01T21:57:56Z
GW_6989c25f6af,TXN_EC7A210B,2026-09-03,2316.07,46.32,SUCCESS,UPI,merch_e6614b,cust_8eb6225c,2026-09-03T16:49:26Z
GW_b87c863bf8a,TXN_4D651C8E,2026-08-14,2273.06,45.46,SUCCESS,UPI,merch_e6614b,cust_27144ee2,2026-08-14T01:07:59Z
GW_33be7acf640,TXN_1986FBF4,2026-08-19,116.56,2.33,SUCCESS,UPI,merch_e6614b,cust_219ac7a6,2026-08-19T12:38:56Z
GW_616f22673b6,TXN_2D8A2F0E,2026-08-20,3118.94,62.38,SUCCESS,UPI,merch_e6614b,cust_3d61c9e5,2026-08-20T20:33:38Z
GW_ca4c356b9e3,TXN_E610247D,2026-08-22,1255.96,25.12,SUCCESS,UPI,merch_e6614b,cust_cb52ac9e,2026-08-22T00:39:34Z
GW_b6a5d68524d,TXN_ACA1A094,2026-08-30,4942.01,98.84,SUCCESS,UPI,merch_e6614b,cust_71397b09,2026-08-30T10:15:19Z
GW_eff3a92ba48,TXN_8DC0C8CF,2026-08-06,4804.13,96.08,SUCCESS,UPI,merch_e6614b,cust_095c0c75,2026-08-06T02:53:51Z
GW_3bb394e9b61,TXN_98D0D6AA,2026-08-10,788.97,15.78,REFUNDED,UPI,merch_e6614b,cust_077e9c03,2026-08-10T06:06:08Z
GW_02b2553ae8d,TXN_DDEBA675,2026-08-08,4054.88,81.1,SUCCESS,UPI,merch_e6614b,cust_7694ad98,2026-08-08T02:47:14Z
GW_ee3c5e7cfa0,TXN_2B9770DE,2026-08-25,3980.93,79.62,SUCCESS,UPI,merch_e6614b,cust_e893536b,2026-08-25T20:58:19Z
GW_7f792ad5349,TXN_0F13415C,2026-09-01,1418.12,28.36,SUCCESS,UPI,merch_e6614b,cust_1c456530,2026-09-01T00:06:03Z
GW_a816a13a38c,TXN_86DDA896,2026-08-15,2342.6,46.85,SUCCESS,UPI,merch_e6614b,cust_6b335a1f,2026-08-15T17:32:05Z
GW_a37eed106ba,TXN_D70F9E63,2026-08-29,2402.63,48.05,SUCCESS,UPI,merch_e6614b,cust_e0a60002,2026-08-29T16:19:57Z
GW_983b57780a7,TXN_9C48A5D3,2026-08-17,4255.02,85.1,SUCCESS,UPI,merch_e6614b,cust_b2c5951b,2026-08-17T21:07:41Z
GW_f4ca1b866fa,TXN_C6C07F33,2026-08-07,3905.69,78.11,SUCCESS,UPI,merch_e6614b,cust_d065b3e5,2026-08-07T15:40:01Z
GW_fe9ad1d08ba,TXN_37AD4597,2026-08-21,4922.91,98.46,SUCCESS,UPI,merch_e6614b,cust_c35bdc6d,2026-08-21T10:10:09Z
GW_267059e4954,TXN_27CC1D44,2026-09-02,2950.87,59.02,SUCCESS,UPI,merch_e6614b,cust_36728bb2,2026-09-02T01:19:14Z
GW_74a29db8093,TXN_CE1CE344,2026-08-30,2446.15,48.92,SUCCESS,UPI,merch_e6614b,cust_2e41b92c,2026-08-30T18:13:16Z
GW_c0d2f93b0c2,TXN_42DDB0D3,2026-08-11,2582.49,51.65,SUCCESS,UPI,merch_e6614b,cust_75a9653b,2026-08-11T09:44:19Z
GW_7b1215f0307,TXN_5B34698A,2026-09-03,335.0,6.7,SUCCESS,UPI,merch_e6614b,cust_5a905261,2026-09-03T08:57:49Z
GW_48ded57ecd3,TXN_2CF66461,2026-08-20,4213.48,81.62,SUCCESS,UPI,merch_e6614b,cust_4bae8980,2026-08-20T18:27:52Z
GW_650f7b03971,TXN_47F581A8,2026-08-17,3958.42,79.17,SUCCESS,UPI,merch_e6614b,cust_8a495280,2026-08-17T14:49:16Z
GW_f2379d8d727,TXN_E0E3363B,2026-08-14,1739.48,34.79,SUCCESS,UPI,merch_e6614b,cust_99d34619,2026-08-14T21:33:01Z
GW_175e2153435,TXN_A5749BCA,2026-09-03,4950.25,99.0,SUCCESS,UPI,merch_e6614b,cust_f9fbcdde,2026-09-03T20:19:52Z
GW_189c80693f9,TXN_5709B74D,2026-08-17,2371.6,47.43,SUCCESS,UPI,merch_e6614b,cust_3f920e96,2026-08-17T16:15:27Z
GW_dbfdce34638,TXN_47C0153C,2026-08-14,4325.16,86.5,SUCCESS,UPI,merch_e6614b,cust_17f8c6ec,2026-08-14T21:20:27Z
GW_de9ffa50cba,TXN_3E9D9787,2026-09-01,4796.76,95.94,SUCCESS,UPI,merch_e6614b,cust_df8e42a3,2026-09-01T02:23:08Z
GW_23274beb508,TXN_1B0A3855,2026-08-12,1197.51,23.95,SUCCESS,UPI,merch_e6614b,cust_5ffb3696,2026-08-12T06:57:58Z
GW_66b3d8c83d2,TXN_F14E4487,2026-08-27,1023.02,20.46,SUCCESS,UPI,merch_e6614b,cust_fc74ac82,2026-08-27T22:05:17Z
GW_f6c22fa1654,TXN_E72813AC,2026-08-16,58.86,1.13,SUCCESS,UPI,merch_e6614b,cust_c6a8dbb2,2026-08-16T11:01:27Z
GW_49da5a07c8a,TXN_010F0140,2026-08-11,4062.42,81.25,SUCCESS,UPI,merch_e6614b,cust_60c6ddd5,2026-08-11T01:08:20Z
GW_657f44fcc83,TXN_D957DE96,2026-08-07,1568.76,31.38,SUCCESS,UPI,merch_e6614b,cust_c3d2fc8b,2026-08-07T21:33:08Z
GW_613ecfe9632,TXN_A1BA6B59,2026-08-16,2657.54,53.15,SUCCESS,UPI,merch_e6614b,cust_9a542153,2026-08-16T16:06:26Z
GW_f435e4e288b,TXN_47712795,2026-08-21,4031.25,80.62,SUCCESS,UPI,merch_e6614b,cust_980e8c0f,2026-08-21T06:07:23Z
GW_1ad2de1f45c,TXN_792A6BCD,2026-08-17,4285.45,85.71,SUCCESS,UPI,merch_e6614b,cust_e3a4ebd4,2026-08-17T10:27:49Z
GW_62b17b3589a,TXN_2109F01F,2026-08-23,3642.54,72.85,SUCCESS,UPI,merch_e6614b,cust_dfae1548,2026-08-23T14:46:22Z
GW_268a630fb2c,TXN_B27FB2CD,2026-08-14,37.12,0.74,SUCCESS,UPI,merch_e6614b,cust_b2ef577a,2026-08-14T05:51:55Z
GW_103a44bf00e,TXN_E9CE9F8E,2026-08-19,1104.15,22.08,SUCCESS,UPI,merch_e6614b,cust_71b4f5fb,2026-08-19T21:26:03Z
GW_3b71d6f7400,TXN_7FD9B15A,2026-08-29,3261.18,65.22,SUCCESS,UPI,merch_e6614b,cust_76d4f482,2026-08-29T01:05:43Z
GW_dc772e397c4,TXN_63B39366,2026-08-27,2084.96,41.7,SUCCESS,UPI,merch_e6614b,cust_2a7f61bd,2026-08-27T07:38:40Z
GW_7227a11d324,TXN_513B652B,2026-08-31,91.01,1.82,SUCCESS,UPI,merch_e6614b,cust_31ed48a0,2026-08-31T07:43:01Z
GW_e6b60672bff,TXN_C95517E1,2026-09-01,4019.54,80.39,SUCCESS,UPI,merch_e6614b,cust_4eee6606,2026-09-01T02:46:06Z
GW_1afeed7eab5,TXN_408DDDA7,2026-09-03,2374.41,47.49,SUCCESS,UPI,merch_e6614b,cust_5fd7669f,2026-09-03T15:27:32Z
GW_8748912e0c9,TXN_1F455F11,2026-09-03,1261.98,24.56,SUCCESS,UPI,merch_e6614b,cust_8be7b8f5,2026-09-03T21:16:07Z
GW_475be683b76,TXN_3896268A,2026-08-19,1408.86,28.18,SUCCESS,UPI,merch_e6614b,cust_df6d4822,2026-08-19T10:57:39Z
GW_ac1cd6c2c9f,TXN_EA105E04,2026-08-12,375.64,7.51,SUCCESS,UPI,merch_e6614b,cust_1c029f1e,2026-08-12T01:34:31Z
GW_9792425400c,TXN_A69F5F20,2026-08-28,1124.1,22.48,SUCCESS,UPI,merch_e6614b,cust_acd8dda2,2026-08-28T08:48:30Z
GW_7eab508086f,TXN_C401F9B7,2026-08-07,2114.91,42.3,SUCCESS,UPI,merch_e6614b,cust_133fe802,2026-08-07T15:19:35Z
GW_e808c4b0b47,TXN_B3BFECE3,2026-08-06,2198.44,43.97,SUCCESS,UPI,merch_e6614b,cust_c54443b4,2026-08-06T02:12:52Z
GW_8e5591bb839,TXN_7851D67B,2026-08-05,2497.28,49.95,REFUNDED,UPI,merch_e6614b,cust_5f556123,2026-08-05T10:53:35Z
GW_e391f46695d,TXN_823FDFA9,2026-08-22,1178.88,23.58,SUCCESS,UPI,merch_e6614b,cust_ac2ebd2f,2026-08-22T05:24:24Z
GW_afff3995456,TXN_B4986C49,2026-08-14,331.93,6.64,SUCCESS,UPI,merch_e6614b,cust_5da77921,2026-08-14T21:12:57Z
GW_1f19e650620,TXN_B8B3141E,2026-09-02,4857.67,97.15,SUCCESS,UPI,merch_e6614b,cust_9e371e7a,2026-09-02T09:34:15Z
GW_95138151672,TXN_2A4FFB3D,2026-08-29,3412.95,68.26,SUCCESS,UPI,merch_e6614b,cust_44e3395a,2026-08-29T22:21:25Z
GW_81a4cfcff4c,TXN_9A45331B,2026-08-20,408.0,8.16,SUCCESS,UPI,merch_e6614b,cust_3e36ade3,2026-08-20T03:39:54Z
GW_519dba4492c,TXN_1C55D4B7,2026-08-15,2293.77,45.88,SUCCESS,UPI,merch_e6614b,cust_4a11d668,2026-08-15T11:46:48Z
GW_0b5adfb6790,TXN_BDBD444C,2026-08-30,2041.74,40.83,SUCCESS,UPI,merch_e6614b,cust_849c83fd,2026-08-30T02:21:49Z
GW_fc1017f885e,TXN_3E952EB2,2026-08-06,1954.68,37.42,SUCCESS,UPI,merch_e6614b,cust_a14e9568,2026-08-06T00:36:20Z
GW_4af503d2d04,TXN_EA46C466,2026-08-24,3957.81,79.16,SUCCESS,UPI,merch_e6614b,cust_1caccc26,2026-08-24T09:42:58Z
GW_0626fd7eee1,TXN_FEC92328,2026-08-08,3170.85,63.42,SUCCESS,UPI,merch_e6614b,cust_568ede54,2026-08-08T09:22:29Z
GW_a4d97e4c74c,TXN_2BDC1362,2026-08-19,3026.28,60.53,SUCCESS,UPI,merch_e6614b,cust_00c0cb46,2026-08-19T14:04:50Z
GW_006d4574028,TXN_26ED86EE,2026-08-26,3525.52,70.51,SUCCESS,UPI,merch_e6614b,cust_0d2a9a65,2026-08-26T05:53:12Z
GW_60c4e148ca4,TXN_614CA9D7,2026-08-14,4102.74,82.05,SUCCESS,UPI,merch_e6614b,cust_d0ca1a77,2026-08-14T23:44:34Z
GW_3aabadb0fe9,TXN_EFD87B66,2026-08-14,4606.2,92.12,SUCCESS,UPI,merch_e6614b,cust_cab9dfb8,2026-08-14T12:23:42Z
GW_4a29b4c7e8c,TXN_A4C7F864,2026-09-02,4312.81,86.26,SUCCESS,UPI,merch_e6614b,cust_16c97a8c,2026-09-02T04:28:45Z
GW_f0bee69ffac,TXN_C9473B5E,2026-09-03,422.8,8.32,SUCCESS,UPI,merch_e6614b,cust_287fa493,2026-09-03T18:08:14Z
GW_47ed01b8976,TXN_50C9DFC6,2026-08-17,2859.73,57.19,SUCCESS,UPI,merch_e6614b,cust_cdbb5380,2026-08-17T19:23:48Z
GW_7430b90fb72,TXN_978FB2CB,2026-08-15,4523.04,90.46,SUCCESS,UPI,merch_e6614b,cust_2ad9a106,2026-08-15T09:48:19Z
GW_4961a24ce02,TXN_BF29324A,2026-09-02,382.61,7.65,SUCCESS,UPI,merch_e6614b,cust_53f67ca5,2026-09-02T13:57:20Z
GW_9803598270a,TXN_242051FA,2026-08-16,4031.97,80.64,SUCCESS,UPI,merch_e6614b,cust_db4b014e,2026-08-16T16:40:49Z
GW_ab1dcbcfd4a,TXN_B401207C,2026-08-12,332.06,6.64,SUCCESS,UPI,merch_e6614b,cust_71f381d0,2026-08-12T15:30:09Z
GW_f02cd9fabca,TXN_BC480D63,2026-08-25,290.08,5.8,SUCCESS,UPI,merch_e6614b,cust_b66ecce5,2026-08-25T08:06:19Z
GW_ce242ef48b5,TXN_4E2D4CA7,2026-08-19,4201.92,84.04,SUCCESS,UPI,merch_e6614b,cust_9fd8c10b,2026-08-19T03:51:00Z
GW_3998d8b6e1e,TXN_37A00970,2026-08-21,4800.24,96.0,SUCCESS,UPI,merch_e6614b,cust_d4217984,2026-08-21T03:39:15Z
GW_f006e4b7a9a,TXN_B066A63B,2026-08-25,682.14,13.64,SUCCESS,UPI,merch_e6614b,cust_d711ab52,2026-08-25T20:49:39Z
GW_da3711cb170,TXN_71BA16C6,2026-08-18,4146.88,82.94,SUCCESS,UPI,merch_e6614b,cust_5b908570,2026-08-18T22:04:53Z
GW_c8a5da7fb14,TXN_DA12CE61,2026-08-08,2153.75,43.08,SUCCESS,UPI,merch_e6614b,cust_ee36a5a9,2026-08-08T12:27:32Z
GW_549b1635d8a,TXN_B80E3152,2026-09-02,951.97,19.04,SUCCESS,UPI,merch_e6614b,cust_f1878c13,2026-09-02T06:53:13Z
GW_e66dc0abff3,TXN_5BEB167C,2026-08-12,1439.54,28.79,SUCCESS,UPI,merch_e6614b,cust_d595490d,2026-08-12T17:53:05Z
GW_4f03ae5809b,TXN_3CB2B7FA,2026-08-10,4571.41,91.43,SUCCESS,UPI,merch_e6614b,cust_0b9c467f,2026-08-10T06:01:27Z
GW_c95478c8891,TXN_B29F2497,2026-08-25,525.4,10.51,SUCCESS,UPI,merch_e6614b,cust_726b3143,2026-08-25T23:10:56Z
GW_c9c51cb4aaf,TXN_F17CFD26,2026-08-15,851.86,17.04,SUCCESS,UPI,merch_e6614b,cust_b01c610c,2026-08-15T09:34:19Z
GW_526dfaeb7cb,TXN_35C3A48D,2026-08-14,4593.08,91.86,SUCCESS,UPI,merch_e6614b,cust_5ece4259,2026-08-14T20:06:26Z
GW_c46f05b5580,TXN_FC2A9BA2,2026-08-21,3486.46,69.73,SUCCESS,UPI,merch_e6614b,cust_d73b674f,2026-08-21T01:39:10Z
GW_ddee88bbb7d,TXN_230FAA50,2026-08-19,1581.92,31.64,SUCCESS,UPI,merch_e6614b,cust_221cd6ce,2026-08-19T15:38:17Z
GW_efd788ce7c5,TXN_B5296A80,2026-08-08,1331.4,26.63,SUCCESS,UPI,merch_e6614b,cust_6b3c02cb,2026-08-08T08:46:56Z
GW_5f7be813235,TXN_0A18E07D,2026-08-12,4239.62,84.79,SUCCESS,UPI,merch_e6614b,cust_78b18a1c,2026-08-12T07:47:54Z
GW_35fecad7653,TXN_AE409C04,2026-08-12,1985.09,39.7,SUCCESS,UPI,merch_e6614b,cust_03e7fee6,2026-08-12T10:40:44Z
GW_8c836f34b28,TXN_E9DE8189,2026-08-30,3336.56,66.73,SUCCESS,UPI,merch_e6614b,cust_ee6fb04d,2026-08-30T07:02:04Z
GW_e4c05cd2c17,TXN_07F974E0,2026-08-28,4518.0,90.36,SUCCESS,UPI,merch_e6614b,cust_61b77e83,2026-08-28T11:06:08Z
GW_7c6d599ee2c,TXN_FF8CD2F8,2026-08-11,3256.39,65.13,SUCCESS,UPI,merch_e6614b,cust_f9bfff66,2026-08-11T11:59:33Z
GW_1bade599042,TXN_A3DE8F04,2026-08-09,3266.36,65.33,SUCCESS,UPI,merch_e6614b,cust_902fce3d,2026-08-09T01:52:16Z
GW_a9d3794dcda,TXN_CEFD748B,2026-08-06,3220.03,64.4,SUCCESS,UPI,merch_e6614b,cust_6ed86ae6,2026-08-06T13:45:52Z
GW_d7da8d06ec1,TXN_22D7B806,2026-08-24,1055.88,21.12,SUCCESS,UPI,merch_e6614b,cust_60cd26ca,2026-08-24T11:20:21Z
GW_4e0fad14896,TXN_1F27F4EB,2026-09-03,1755.42,35.11,SUCCESS,UPI,merch_e6614b,cust_eb22e496,2026-09-03T23:01:13Z
GW_06c162b0865,TXN_54817584,2026-08-26,4730.15,94.6,SUCCESS,UPI,merch_e6614b,cust_7bae51da,2026-08-26T08:20:12Z
GW_044c3192f60,TXN_A031ABF9,2026-08-20,2683.92,53.68,REFUNDED,UPI,merch_e6614b,cust_8ff3267b,2026-08-20T02:01:44Z
GW_d8d71c710fc,TXN_E3CC0735,2026-08-18,4758.0,95.16,SUCCESS,UPI,merch_e6614b,cust_1398870e,2026-08-18T18:28:25Z
GW_2011f58986a,TXN_EEDDE406,2026-08-28,4317.12,86.34,SUCCESS,UPI,merch_e6614b,cust_6a39388d,2026-08-28T19:16:40Z
GW_34061d71861,TXN_50ACCF99,2026-09-02,974.76,19.5,SUCCESS,UPI,merch_e6614b,cust_91b9bf98,2026-09-02T10:02:20Z
GW_7ee0b676261,TXN_6219F196,2026-08-25,2707.65,54.15,SUCCESS,UPI,merch_e6614b,cust_f14713e8,2026-08-25T12:13:06Z
GW_5dbad71685b,TXN_DA6C11AE,2026-08-27,1943.0,38.86,SUCCESS,UPI,merch_e6614b,cust_69659f5f,2026-08-27T11:56:10Z
GW_12a1b21263e,TXN_6B67C0C9,2026-08-30,3371.11,67.42,SUCCESS,UPI,merch_e6614b,cust_2fbc4b52,2026-08-30T23:36:58Z
GW_67144cfed94,TXN_9C9FCB4D,2026-08-13,121.55,2.43,SUCCESS,UPI,merch_e6614b,cust_895dfe15,2026-08-13T10:49:08Z
GW_e19ce8a69bd,TXN_CC8388AF,2026-08-14,4643.34,92.87,SUCCESS,UPI,merch_e6614b,cust_6cabeb42,2026-08-14T04:31:04Z
GW_f634e132430,TXN_4DDD8540,2026-08-28,4474.62,89.49,SUCCESS,UPI,merch_e6614b,cust_77a757a3,2026-08-28T04:42:16Z
GW_573f9da81e3,TXN_427C98C2,2026-08-11,2692.32,53.85,SUCCESS,UPI,merch_e6614b,cust_c3bda99b,2026-08-11T03:42:47Z
GW_cd7d67b20ea,TXN_8244B029,2026-08-11,1260.27,25.21,SUCCESS,UPI,merch_e6614b,cust_428e0493,2026-08-11T06:50:11Z
GW_7b890d155e4,TXN_8B0DEDEB,2026-08-07,1693.69,33.87,SUCCESS,UPI,merch_e6614b,cust_46d400de,2026-08-07T18:43:27Z
GW_8871dd132b4,TXN_5E5C1960,2026-08-21,2077.88,41.56,SUCCESS,UPI,merch_e6614b,cust_85c99c7c,2026-08-21T12:29:20Z
GW_ecc6f864a74,TXN_72C3F84A,2026-08-06,1935.19,38.7,SUCCESS,UPI,merch_e6614b,cust_ed6c2727,2026-08-06T17:36:04Z
GW_d84dbafd8a3,TXN_0CF4CC66,2026-08-08,2861.97,57.24,SUCCESS,UPI,merch_e6614b,cust_110732db,2026-08-08T15:03:40Z
GW_6012138334d,TXN_0CFB84F1,2026-08-16,749.51,14.99,SUCCESS,UPI,merch_e6614b,cust_b5686afe,2026-08-16T02:25:44Z
GW_850451a1562,TXN_DD9590CE,2026-08-15,3163.38,63.27,SUCCESS,UPI,merch_e6614b,cust_b1577db9,2026-08-15T23:33:48Z
GW_dcc3bce906b,TXN_60C2CF62,2026-08-18,3103.07,62.06,SUCCESS,UPI,merch_e6614b,cust_74b0539d,2026-08-18T09:09:12Z
GW_0a78a37f54c,TXN_47EC9669,2026-08-07,4730.7,94.61,SUCCESS,UPI,merch_e6614b,cust_941b873a,2026-08-07T02:03:47Z
GW_7cd3a6f015b,TXN_41689D34,2026-08-10,4556.86,91.14,SUCCESS,UPI,merch_e6614b,cust_8645b007,2026-08-10T17:52:23Z
