bank_txn_id,transaction_id,date,description,amount,type,currency,bank_name,reference_number
BANK_1238d630743,TXN_2812859A,2026-08-16,NEFT/RAZORPAY/TXN_2812859A,1049.59,CREDIT,INR,Axis Bank,UTR-GW_b07aa066735
BANK_ebd3461691b,TXN_398D1CA6,2026-08-19,NEFT/RAZORPAY/TXN_398D1CA6,1944.52,CREDIT,INR,Axis Bank,UTR-GW_44007d5ae88
BANK_93403faddc4,TXN_1497D658,2026-09-03,NEFT/RAZORPAY/TXN_1497D658,708.47,CREDIT,INR,ICICI Bank,UTR-GW_6e996e3ee3b
BANK_fcf56188d32,TXN_D045DD1C,2026-08-05,NEFT/RAZORPAY/TXN_D045DD1C,2645.51,CREDIT,INR,Kotak Mahindra,UTR-GW_746f7891096
BANK_a14923c2f92,TXN_71299889,2026-09-04,NEFT/RAZORPAY/TXN_71299889,2104.92,CREDIT,INR,Kotak Mahindra,UTR-GW_445dcc38341
BANK_d5b077e06a5,TXN_E9B5C5CF,2026-08-28,NEFT/RAZORPAY/TXN_E9B5C5CF,1962.95,CREDIT,INR,ICICI Bank,UTR-GW_1e1242e3f27
BANK_b9de7a3a486,TXN_22F235F2,2026-08-19,NEFT/RAZORPAY/TXN_22F235F2,4886.93,CREDIT,INR,ICICI Bank,UTR-GW_c5ce099c46b
BANK_c68a152fdb2,TXN_8D4A75B8,2026-08-25,NEFT/RAZORPAY/TXN_8D4A75B8,2501.49,CREDIT,INR,HDFC Bank,UTR-GW_749176f4609
BANK_1986b4b270b,TXN_A6EAB79E,2026-08-31,NEFT/RAZORPAY/TXN_A6EAB79E,3705.72,CREDIT,INR,HDFC Bank,UTR-GW_f6febc0e7ec
BANK_5110b492f44,TXN_F81DBAA1,2026-08-29,NEFT/RAZORPAY/TXN_F81DBAA1,757.23,CREDIT,INR,ICICI Bank,UTR-GW_b15516bc9f8
BANK_530a37df0bc,TXN_1723199D,2026-08-12,NEFT/RAZORPAY/TXN_1723199D,3883.23,CREDIT,INR,Axis Bank,UTR-GW_c2a79689193
BANK_75a66981410,TXN_2CD1586A,2026-08-17,NEFT/RAZORPAY/TXN_2CD1586A,2926.36,CREDIT,INR,Axis Bank,UTR-GW_61ee6c5bdee
BANK_7bb38605da7,TXN_5876FD09,2026-08-10,NEFT/RAZORPAY/TXN_5876FD09,1875.99,CREDIT,INR,Axis Bank,UTR-GW_a3917c994c9
BANK_e726be23e77,TXN_6553867D,2026-08-19,NEFT/RAZORPAY/TXN_6553867D,2597.27,CREDIT,INR,Kotak Mahindra,UTR-GW_dd750e9890e
BANK_945ef2e4088,TXN_B88EC318,2026-08-23,NEFT/RAZORPAY/TXN_B88EC318,4219.18,CREDIT,INR,HDFC Bank,UTR-GW_d69d42f1ae4
BANK_4b8e63d4ce7,TXN_E05FB8BC,2026-08-21,NEFT/RAZORPAY/TXN_E05FB8BC,3336.52,CREDIT,INR,HDFC Bank,UTR-GW_80759f1f87e
BANK_ac3e7b0d5e5,TXN_FADD7EA3,2026-08-18,NEFT/RAZORPAY/TXN_FADD7EA3,3343.5,CREDIT,INR,Kotak Mahindra,UTR-GW_cdf974a7d88
BANK_7d45d8efd56,TXN_ABA4FC03,2026-09-04,NEFT/RAZORPAY/TXN_ABA4FC03,555.32,CREDIT,INR,Axis Bank,UTR-GW_f22b5b98b24
BANK_f2f25eef1f4,TXN_5CD8FE1A,2026-08-27,NEFT/RAZORPAY/TXN_5CD8FE1A,783.23,CREDIT,INR,HDFC Bank,UTR-GW_5e09a9eeaf8
BANK_25c61c45c63,TXN_203C8C25,2026-09-03,NEFT/RAZORPAY/TXN_203C8C25,4674.15,CREDIT,INR,SBI,UTR-GW_11906f50348
BANK_6bc4123ebde,TXN_DDCF8766,2026-08-31,NEFT/RAZORPAY/TXN_DDCF8766,4762.53,CREDIT,INR,ICICI Bank,UTR-GW_5bb5c40c03c
BANK_9afd4015816,TXN_10D08D11,2026-08-26,NEFT/RAZORPAY/TXN_10D08D11,4266.81,CREDIT,INR,SBI,UTR-GW_a21150f99fd
BANK_4140752caa4,TXN_6E191042,2026-08-23,NEFT/RAZORPAY/TXN_6E191042,4125.73,CREDIT,INR,Kotak Mahindra,UTR-GW_69efafb13a7
BANK_aa53c19cdfa,TXN_BD21BC11,2026-08-26,NEFT/RAZORPAY/TXN_BD21BC11,2987.78,CREDIT,INR,ICICI Bank,UTR-GW_8e6e5003214
BANK_6dda4f8dcea,TXN_279C658A,2026-09-01,NEFT/RAZORPAY/TXN_279C658A,1838.31,CREDIT,INR,ICICI Bank,UTR-GW_d8e7012f396
BANK_a847bce790f,TXN_B18753E6,2026-08-24,NEFT/RAZORPAY/TXN_B18753E6,2647.47,CREDIT,INR,Kotak Mahindra,UTR-GW_45f50c522e2
BANK_9e2aa4acc12,TXN_5744F596,2026-08-07,NEFT/RAZORPAY/TXN_5744F596,4501.41,CREDIT,INR,Kotak Mahindra,UTR-GW_b8ba83684fc
BANK_fc04a168652,TXN_832920B7,2026-09-03,NEFT/RAZORPAY/TXN_832920B7,1594.99,CREDIT,INR,HDFC Bank,UTR-GW_1c6345ab6e0
BANK_12738a235aa,TXN_01FA964E,2026-08-24,NEFT/RAZORPAY/TXN_01FA964E,556.86,CREDIT,INR,SBI,UTR-GW_2cfa55b06e3
BANK_59e1ac09597,TXN_BEED10B6,2026-08-12,NEFT/RAZORPAY/TXN_BEED10B6,1180.77,CREDIT,INR,ICICI Bank,UTR-GW_c77444cb554
BANK_fc8d5b93a2a,TXN_F387E1BD,2026-08-21,NEFT/RAZORPAY/TXN_F387E1BD,4303.44,CREDIT,INR,HDFC Bank,UTR-GW_76c5a0dc7e7
BANK_fa34d2e8dd3,TXN_97674900,2026-08-09,NEFT/RAZORPAY/TXN_97674900,428.66,CREDIT,INR,Axis Bank,UTR-GW_12fe28bf81e
BANK_d65e59dde62,TXN_E8B77F7B,2026-08-22,NEFT/RAZORPAY/TXN_E8B77F7B,4000.32,CREDIT,INR,Kotak Mahindra,UTR-GW_30307633a6d
BANK_a5b5cdc2a18,TXN_85D2D0A6,2026-08-21,NEFT/RAZORPAY/TXN_85D2D0A6,3754.88,CREDIT,INR,ICICI Bank,UTR-GW_5f733a3e5d2
BANK_2102f9c9645,TXN_9A4A99B2,2026-09-03,NEFT/RAZORPAY/TXN_9A4A99B2,3236.12,CREDIT,INR,Kotak Mahindra,UTR-GW_14dd5061555
BANK_2e25b5ee4f1,TXN_D436A7A8,2026-08-15,NEFT/RAZORPAY/TXN_D436A7A8,817.3,CREDIT,INR,Kotak Mahindra,UTR-GW_af77520eff4
BANK_6070b6a198e,TXN_19E45C6A,2026-08-12,NEFT/RAZORPAY/TXN_19E45C6A,4276.17,CREDIT,INR,Axis Bank,UTR-GW_d5ca69ab8a2
BANK_f73157494f3,TXN_5D42B9E9,2026-08-28,NEFT/RAZORPAY/TXN_5D42B9E9,4725.73,CREDIT,INR,Kotak Mahindra,UTR-GW_f836f5713cc
BANK_dfc620ce7b0,TXN_61C2645A,2026-08-23,NEFT/RAZORPAY/TXN_61C2645A,3703.19,CREDIT,INR,ICICI Bank,UTR-GW_f75d599f6b2
BANK_6a36af1806d,TXN_73069588,2026-08-08,NEFT/RAZORPAY/TXN_73069588,3496.27,CREDIT,INR,Axis Bank,UTR-GW_d4bf7a4b25b
BANK_b49e04ccc24,TXN_D6D441CC,2026-08-28,NEFT/RAZORPAY/TXN_D6D441CC,4876.28,CREDIT,INR,SBI,UTR-GW_ca97ebf555d
BANK_10142131750,TXN_9BDF90F2,2026-08-10,NEFT/RAZORPAY/TXN_9BDF90F2,2152.2,CREDIT,INR,Kotak Mahindra,UTR-GW_c6b33fe61c7
BANK_86abd4e7f41,TXN_6DE299A1,2026-08-31,NEFT/RAZORPAY/TXN_6DE299A1,2217.66,CREDIT,INR,ICICI Bank,UTR-GW_3d959e3f5a5
BANK_c1b5b5cabc3,TXN_5F90BED6,2026-08-21,NEFT/RAZORPAY/TXN_5F90BED6,1108.62,CREDIT,INR,SBI,UTR-GW_5b6a8102042
BANK_33107475ca8,TXN_B20507BB,2026-08-07,NEFT/RAZORPAY/TXN_B20507BB,112.66,CREDIT,INR,Kotak Mahindra,UTR-GW_cfbe4fe92ea
BANK_be4969ec666,TXN_30EC2796,2026-08-26,NEFT/RAZORPAY/TXN_30EC2796,1135.1,CREDIT,INR,ICICI Bank,UTR-GW_c7e53bbbdcb
BANK_83599af65d0,TXN_E95F176C,2026-08-13,NEFT/RAZORPAY/TXN_E95F176C,1129.37,CREDIT,INR,HDFC Bank,UTR-GW_6f5842c3ff8
BANK_13aec376c35,TXN_A52964FF,2026-09-02,NEFT/RAZORPAY/TXN_A52964FF,4213.59,CREDIT,INR,HDFC Bank,UTR-GW_f31046dc620
BANK_ea9e5c8db1a,TXN_7FC15858,2026-08-29,NEFT/RAZORPAY/TXN_7FC15858,2524.13,CREDIT,INR,SBI,UTR-GW_8fc9c86be9d
BANK_b6391f04285,TXN_AE92EA71,2026-08-13,NEFT/RAZORPAY/TXN_AE92EA71,3281.24,CREDIT,INR,ICICI Bank,UTR-GW_51d08109fc9
BANK_b788f5d1ffe,TXN_5C63B6F3,2026-09-02,NEFT/RAZORPAY/TXN_5C63B6F3,2646.76,CREDIT,INR,Kotak Mahindra,UTR-GW_77a7e8b75e7
BANK_80bbae526ec,TXN_7740D831,2026-08-08,NEFT/RAZORPAY/TXN_7740D831,2827.59,CREDIT,INR,ICICI Bank,UTR-GW_20da8972583
BANK_8892042f9d4,TXN_F0DF1684,2026-08-10,NEFT/RAZORPAY/TXN_F0DF1684,3846.75,CREDIT,INR,Axis Bank,UTR-GW_d88f1c9448b
BANK_35f789bca6b,TXN_566E3CBE,2026-09-02,NEFT/RAZORPAY/TXN_566E3CBE,940.95,CREDIT,INR,HDFC Bank,UTR-GW_0a8bb5b4904
BANK_dc8a4922500,TXN_67F5AE02,2026-08-21,NEFT/RAZORPAY/TXN_67F5AE02,3232.35,CREDIT,INR,SBI,UTR-GW_b048faa112a
BANK_f67294643f8,TXN_3DE28859,2026-08-13,NEFT/RAZORPAY/TXN_3DE28859,2081.19,CREDIT,INR,Axis Bank,UTR-GW_7318b96d447
BANK_0cf0374c0c7,TXN_7FAEB748,2026-08-19,NEFT/RAZORPAY/TXN_7FAEB748,4234.14,CREDIT,INR,HDFC Bank,UTR-GW_05eee1d47f5
BANK_49e1cd138da,TXN_22498F66,2026-08-09,NEFT/RAZORPAY/TXN_22498F66,3302.69,CREDIT,INR,HDFC Bank,UTR-GW_5da39a73ba3
BANK_80051b1066c,TXN_F99F0704,2026-08-07,NEFT/RAZORPAY/TXN_F99F0704,306.21,CREDIT,INR,SBI,UTR-GW_cb7e62685f8
BANK_827c9f8cd40,TXN_23C8AFDB,2026-08-31,NEFT/RAZORPAY/TXN_23C8AFDB,3924.86,CREDIT,INR,HDFC Bank,UTR-GW_518b2f219cf
BANK_c6b28deff8d,TXN_956D80E4,2026-09-02,NEFT/RAZORPAY/TXN_956D80E4,1225.78,CREDIT,INR,ICICI Bank,UTR-GW_b9aed8e4e61
BANK_69b7c0fa26c,TXN_61542765,2026-08-15,NEFT/RAZORPAY/TXN_61542765,2632.35,CREDIT,INR,ICICI Bank,UTR-GW_3e00980eae4
BANK_8bd88fcd57a,TXN_84C86C46,2026-08-22,NEFT/RAZORPAY/TXN_84C86C46,2072.89,CREDIT,INR,SBI,UTR-GW_ff84faef533
BANK_5129950d7d2,TXN_3F1BE0D0,2026-08-28,NEFT/RAZORPAY/TXN_3F1BE0D0,2272.14,CREDIT,INR,HDFC Bank,UTR-GW_3990e2c94c6
BANK_ec8be53758a,TXN_E5508EA2,2026-08-26,NEFT/RAZORPAY/TXN_E5508EA2,2176.8,CREDIT,INR,Kotak Mahindra,UTR-GW_585abefbd18
BANK_69ce1e4e19a,TXN_23245211,2026-08-21,NEFT/RAZORPAY/TXN_23245211,488.59,CREDIT,INR,Kotak Mahindra,UTR-GW_963a8617bda
BANK_c4cb294fe86,TXN_A723FB72,2026-08-09,NEFT/RAZORPAY/TXN_A723FB72,4098.14,CREDIT,INR,HDFC Bank,UTR-GW_79c773a0e0d
BANK_ed10f004df4,TXN_E1DACE6A,2026-08-19,NEFT/RAZORPAY/TXN_E1DACE6A,4539.92,CREDIT,INR,ICICI Bank,UTR-GW_eb6d2fedef1
BANK_bb2aa146299,TXN_A42D0CD7,2026-08-27,NEFT/RAZORPAY/TXN_A42D0CD7,823.09,CREDIT,INR,Axis Bank,UTR-GW_e3a68a707e7
BANK_23ff23d3fb4,TXN_2CED3C0D,2026-08-28,NEFT/RAZORPAY/TXN_2CED3C0D,2363.74,CREDIT,INR,Axis Bank,UTR-GW_e5a4983ba38
BANK_afa2855967c,TXN_951C25D5,2026-08-29,NEFT/RAZORPAY/TXN_951C25D5,4422.93,CREDIT,INR,ICICI Bank,UTR-GW_42f525b902e
BANK_78883058e9a,TXN_9D5817E8,2026-08-31,NEFT/RAZORPAY/TXN_9D5817E8,1863.06,CREDIT,INR,Axis Bank,UTR-GW_22319050f51
BANK_265cb9d9896,TXN_725E134D,2026-08-13,NEFT/RAZORPAY/TXN_725E134D,1306.69,CREDIT,INR,Axis Bank,UTR-GW_13fe8a295c9
BANK_0592bfa5b92,TXN_720B274B,2026-08-24,NEFT/RAZORPAY/TXN_720B274B,1404.72,CREDIT,INR,Kotak Mahindra,UTR-GW_21c71aa3741
BANK_fa740cc8a43,TXN_FE7EE362,2026-08-25,NEFT/RAZORPAY/TXN_FE7EE362,3246.49,CREDIT,INR,Axis Bank,UTR-GW_11ab3d11e4e
BANK_390239d9fa8,TXN_A96B3C42,2026-08-05,NEFT/RAZORPAY/TXN_A96B3C42,766.79,CREDIT,INR,SBI,UTR-GW_a74e02a9220
BANK_c41c147e9d6,TXN_3F5CF2F3,2026-08-06,NEFT/RAZORPAY/TXN_3F5CF2F3,1074.4,CREDIT,INR,HDFC Bank,UTR-GW_4690fb1527b
BANK_d0d75e373bf,TXN_BD9419AA,2026-09-02,NEFT/RAZORPAY/TXN_BD9419AA,2842.11,CREDIT,INR,Kotak Mahindra,UTR-GW_3bfda8a6705
BANK_8e4c3ab56d5,TXN_8570B59F,2026-08-29,NEFT/RAZORPAY/TXN_8570B59F,307.9,CREDIT,INR,SBI,UTR-GW_46707cd64ce
BANK_ea2c7a51768,TXN_26332018,2026-08-08,NEFT/RAZORPAY/TXN_26332018,289.34,CREDIT,INR,Kotak Mahindra,UTR-GW_c12169db2f1
BANK_0a1fc9df9a5,TXN_143DF5B3,2026-08-09,NEFT/RAZORPAY/TXN_143DF5B3,2341.39,CREDIT,INR,Kotak Mahindra,UTR-GW_5efeef4fd8d
BANK_b21490623e1,TXN_4D9DBAEB,2026-09-03,NEFT/RAZORPAY/TXN_4D9DBAEB,779.68,CREDIT,INR,Kotak Mahindra,UTR-GW_363908bf03e
BANK_ea11905b51f,TXN_5BF86F3C,2026-08-19,NEFT/RAZORPAY/TXN_5BF86F3C,401.56,CREDIT,INR,ICICI Bank,UTR-GW_8347f1da5c1
BANK_f186e47aa79,TXN_95831D58,2026-08-21,NEFT/RAZORPAY/TXN_95831D58,344.88,CREDIT,INR,HDFC Bank,UTR-GW_4b91b8cb6ae
BANK_d6cd315508a,TXN_5A2837B2,2026-08-09,NEFT/RAZORPAY/TXN_5A2837B2,3311.72,CREDIT,INR,ICICI Bank,UTR-GW_8bea75c1b86
BANK_0406ff447ce,TXN_26A9E100,2026-08-05,NEFT/RAZORPAY/TXN_26A9E100,1984.34,CREDIT,INR,Kotak Mahindra,UTR-GW_74bd0c93817
BANK_86c5d1d69ea,TXN_D02B1243,2026-08-17,NEFT/RAZORPAY/TXN_D02B1243,1213.84,CREDIT,INR,Kotak Mahindra,UTR-GW_ce6101996e3
BANK_608e2f5c611,TXN_B27E1442,2026-09-01,NEFT/RAZORPAY/TXN_B27E1442,204.14,CREDIT,INR,HDFC Bank,UTR-GW_d3fbe043af1
BANK_79ba630a911,TXN_90DBFAD6,2026-08-18,NEFT/RAZORPAY/TXN_90DBFAD6,2059.89,CREDIT,INR,Kotak Mahindra,UTR-GW_1869a217f94
BANK_905f9096299,TXN_D9B59F84,2026-08-20,NEFT/RAZORPAY/TXN_D9B59F84,2773.87,CREDIT,INR,SBI,UTR-GW_3508507af62
BANK_c4dd8df59ae,TXN_FD0CE433,2026-09-04,NEFT/RAZORPAY/TXN_FD0CE433,4580.7,CREDIT,INR,ICICI Bank,UTR-GW_8033f5c2141
BANK_3f175534cc4,TXN_3A67470C,2026-08-09,NEFT/RAZORPAY/TXN_3A67470C,3284.89,CREDIT,INR,SBI,UTR-GW_601bfbcbf0e
BANK_832f52c48e0,TXN_176DE21F,2026-08-25,NEFT/RAZORPAY/TXN_176DE21F,1177.02,CREDIT,INR,Axis Bank,UTR-GW_71da35b94ee
BANK_6177a771af7,TXN_4AB6821C,2026-08-13,NEFT/RAZORPAY/TXN_4AB6821C,649.82,CREDIT,INR,SBI,UTR-GW_15aede0fc77
BANK_654c11d9f2e,TXN_5C72AEBD,2026-08-21,NEFT/RAZORPAY/TXN_5C72AEBD,2245.72,CREDIT,INR,HDFC Bank,UTR-GW_b88cddde3f2
BANK_4a9c589e51b,TXN_F966D59F,2026-08-29,NEFT/RAZORPAY/TXN_F966D59F,55.35,CREDIT,INR,Kotak Mahindra,UTR-GW_52171c884ce
BANK_f780ef2f664,TXN_1BFFA279,2026-08-21,NEFT/RAZORPAY/TXN_1BFFA279,2483.67,CREDIT,INR,ICICI Bank,UTR-GW_aa2960fda85
BANK_7b96e2d1064,TXN_B00AC64C,2026-08-10,NEFT/RAZORPAY/TXN_B00AC64C,4573.62,CREDIT,INR,HDFC Bank,UTR-GW_5fc64cd0721
BANK_cf6858780b7,TXN_7490ADEB,2026-08-11,NEFT/RAZORPAY/TXN_7490ADEB,4309.61,CREDIT,INR,SBI,UTR-GW_7ba109d0856
BANK_6ea05d13a84,TXN_2CA8F783,2026-08-24,NEFT/RAZORPAY/TXN_2CA8F783,1403.45,CREDIT,INR,Axis Bank,UTR-GW_8f5242d354b
BANK_1d2c2721752,TXN_47419B48,2026-08-18,NEFT/RAZORPAY/TXN_47419B48,4086.98,CREDIT,INR,SBI,UTR-GW_cbc72f1acf0
BANK_224a66a6ac0,TXN_591196DC,2026-08-20,NEFT/RAZORPAY/TXN_591196DC,3001.02,CREDIT,INR,Kotak Mahindra,UTR-GW_9e0b7b01753
BANK_49f1137d7d5,TXN_93267D25,2026-08-12,NEFT/RAZORPAY/TXN_93267D25,48.06,CREDIT,INR,Kotak Mahindra,UTR-GW_7c966b552f8
BANK_1529e6f52ad,TXN_D0B1FDE0,2026-09-01,NEFT/RAZORPAY/TXN_D0B1FDE0,1473.82,CREDIT,INR,HDFC Bank,UTR-GW_816462cb8fc
BANK_8ac35ac45de,TXN_90CE77E9,2026-08-07,NEFT/RAZORPAY/TXN_90CE77E9,4601.35,CREDIT,INR,ICICI Bank,UTR-GW_7eccdaf4c41
BANK_3ca87f31cfd,TXN_4C36A70C,2026-08-15,NEFT/RAZORPAY/TXN_4C36A70C,1303.09,CREDIT,INR,HDFC Bank,UTR-GW_7321a8b2084
BANK_4aea1b8fb43,TXN_C8EBE27A,2026-08-19,NEFT/RAZORPAY/TXN_C8EBE27A,3640.37,CREDIT,INR,ICICI Bank,UTR-GW_ce31593734f
BANK_d4176230527,TXN_C9230C64,2026-08-17,NEFT/RAZORPAY/TXN_C9230C64,1341.64,CREDIT,INR,Kotak Mahindra,UTR-GW_fe1393cd0f2
BANK_93f375968c1,TXN_1036708D,2026-08-11,NEFT/RAZORPAY/TXN_1036708D,1005.43,CREDIT,INR,SBI,UTR-GW_37c3b3c965d
BANK_e8cee951b04,TXN_D6321D31,2026-08-11,NEFT/RAZORPAY/TXN_D6321D31,2481.35,CREDIT,INR,SBI,UTR-GW_edef50031fc
BANK_b4258e19175,TXN_5F31273D,2026-08-10,NEFT/RAZORPAY/TXN_5F31273D,4437.08,CREDIT,INR,HDFC Bank,UTR-GW_2a5fda18a61
BANK_1a6b6a7d1a3,TXN_57F479B5,2026-08-20,NEFT/RAZORPAY/TXN_57F479B5,461.16,CREDIT,INR,Axis Bank,UTR-GW_dc3f42e0fcf
